OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,TYPE,DIAMETER,DRAINAGE_A,FLOW_RATE,WIDTH,HEIGHT,SLOPE,ROUGHNESS,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,ENABLED,TYPE_USE,ORIG_FID,POINT_X,POINT_Y,RASTERVALU,OBJECTID_12,NODE_ID,TYPE_1,DRAINAGE_A_1,FLOW_RATE_1,POINT_X_1,POINT_Y_1,CATCHMENT_,INSTALL_DA_1,LIFE_CYCLE_1,OWNER_1,DATA_SOURC_1,CREATED_BY_1,LAST_EDITE_1,LAST_EDI_12,DA_SRC_STR,ENABLED_1,ANCILLARYR,OUTFALL,SWID,TYPE_USE_1
72,0,72,16584,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,242,-157.760786907789537,21.278446129984957,83.4839096,,,,,,,,,,,,,,,,,,,,,
73,1,73,16585,Box Culvert,Other, , ,96,84, , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,243,-157.760666572204514,21.282534681830157,299.4193726,51752,63821,Inlet/Outlet, , ,-157.760680978444384,21.282538105549179, , , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Connection between Ditch and Box Culvert; edited by Parcels, ,True,None,HMB 35,HMB 35-63821, 
74,1,74,16585,Box Culvert,Other, , ,96,84, , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,243,-157.760615946668565,21.282347712776755,286.8013916,24122,63813,Inlet/Outlet, , ,-157.760630352908436,21.282351136495777, , , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Connection between Box Culvert and Ditch; edited by Parcels, ,True,None,HMB 35,HMB 35-63813, 
75,1,75,16586,Ditch, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,244,-157.760697798464605,21.282741791200749,312.2450256,17669,63822,Inlet/Outlet, , ,-157.760712204704447,21.282745214919771, , , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Connection between Receiving Water Body and Ditch; start of Ditch; edited by Parcels, ,True,None,HMB 35,HMB 35-63822,Infall
76,1,76,16586,Ditch, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,244,-157.760666572204514,21.282534681830157,299.4193726,51752,63821,Inlet/Outlet, , ,-157.760680978444384,21.282538105549179, , , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Connection between Ditch and Box Culvert; edited by Parcels, ,True,None,HMB 35,HMB 35-63821, 
77,0,77,16592,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by State DOT and Parcels,True, ,245,-157.750771082619337,21.278186767305499,-0.3714664,,,,,,,,,,,,,,,,,,,,,
78,0,78,16592,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by State DOT and Parcels,True, ,245,-157.750746197479003,21.278138814554723,-0.3242278,,,,,,,,,,,,,,,,,,,,,
79,0,79,16592,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by State DOT and Parcels,True, ,245,-157.750544118016592,21.277776482198931,-0.0619981,,,,,,,,,,,,,,,,,,,,,
80,0,80,16592,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by State DOT and Parcels,True, ,245,-157.750296649770547,21.277116569574105,-2.7139797,,,,,,,,,,,,,,,,,,,,,
81,1,81,16592,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by State DOT and Parcels,True, ,245,-157.750243472857960,21.276901421163700,-3.8628802,22276,63853,Inlet/Outlet, , ,-157.750257879097802,21.276904845782042, , , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,End of Drainage Canal connection to Class A waters; edited by Parcels, ,True,Sink,HWES,HWES-63853,Outfall
82,0,82,16593,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,246,-157.751163742812452,21.279003977651485,-0.3109870,,,,,,,,,,,,,,,,,,,,,
83,0,83,16593,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,246,-157.751086055776824,21.278835997783119,-0.3696514,,,,,,,,,,,,,,,,,,,,,
84,0,84,16594,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,247,-157.751740480738562,21.280248659148356,5.0110855,,,,,,,,,,,,,,,,,,,,,
85,0,85,16594,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,247,-157.751291160558594,21.279279487658300,-0.1997249,,,,,,,,,,,,,,,,,,,,,
86,0,86,16594,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,247,-157.751163742812452,21.279003977651485,-0.3109870,,,,,,,,,,,,,,,,,,,,,
87,1,87,16595,Reinforced Concrete Pipe,48, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154,True, ,248,-157.752364267596846,21.283058563002328,22.4638863,21640,22254,Man Hole, , ,-157.752378674736008,21.283061986721350,7.400000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22254, 
88,1,88,16595,Reinforced Concrete Pipe,48, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154,True, ,248,-157.752511239302237,21.283018544070615,19.8823566,55386,63858,Catch Basin, , ,-157.752525645542079,21.283021967789637, , , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-63858, 
89,0,89,16596,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,249,-157.752835254243564,21.282610114265424,15.7599087,,,,,,,,,,,,,,,,,,,,,
90,0,90,16596,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,249,-157.752807795243513,21.282550773399521,15.4503565,,,,,,,,,,,,,,,,,,,,,
91,0,91,16596,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,249,-157.752730155871973,21.282383314238587,14.5961847,,,,,,,,,,,,,,,,,,,,,
92,0,92,16597,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,250,-157.752936888426632,21.282829750292819,16.9371738,,,,,,,,,,,,,,,,,,,,,
93,0,93,16597,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,250,-157.752835254243564,21.282610114265424,15.7599087,,,,,,,,,,,,,,,,,,,,,
94,0,94,16601,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154,True, ,253,-157.749282752297148,21.284629999674792,214.7696228,,,,,,,,,,,,,,,,,,,,,
95,1,95,16601,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154,True, ,253,-157.749331662825938,21.284351654105592,194.1380615,40250,29855,Man Hole, , ,-157.749346069065808,21.284355077824614, , ,"Constructed, not dedicated",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-29855, 
96,0,96,16602,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,254,-157.753844387108757,21.284791850663453,29.9614620,,,,,,,,,,,,,,,,,,,,,
97,0,97,16602,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,254,-157.753825265723407,21.284749553748952,29.8114605,,,,,,,,,,,,,,,,,,,,,
98,0,98,16602,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,254,-157.753676569118340,21.284428221485257,28.4455185,,,,,,,,,,,,,,,,,,,,,
99,0,99,16604,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,256,-157.755906238482083,21.287635213794147,81.9972076,,,,,,,,,,,,,,,,,,,,,
100,0,100,16604,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,256,-157.755901052091843,21.287627333934381,81.7833939,,,,,,,,,,,,,,,,,,,,,
101,0,101,16604,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,256,-157.755832363672624,21.287534037365958,79.1352692,,,,,,,,,,,,,,,,,,,,,
102,0,102,16604,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,256,-157.755727765324082,21.287428613439829,75.7133331,,,,,,,,,,,,,,,,,,,,,
103,0,103,16608,Channel, , , , , , , ,18149, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,259,-157.756000219434554,21.291418775855846,165.0165558,,,,,,,,,,,,,,,,,,,,,
104,0,104,16608,Channel, , , , , , , ,18149, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,259,-157.756097742816536,21.291273039818975,163.8962555,,,,,,,,,,,,,,,,,,,,,
105,0,105,16608,Channel, , , , , , , ,18149, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,259,-157.756208930497706,21.291108314597068,162.5240479,,,,,,,,,,,,,,,,,,,,,
106,0,106,16608,Channel, , , , , , , ,18149, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,259,-157.756293321079880,21.290957888595756,160.8303223,,,,,,,,,,,,,,,,,,,,,
107,0,107,16608,Channel, , , , , , , ,18149, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,259,-157.756347042981616,21.290850432201751,160.5131226,,,,,,,,,,,,,,,,,,,,,
108,0,108,16608,Channel, , , , , , , ,18149, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,259,-157.756396982334849,21.290717878427415,162.8249969,,,,,,,,,,,,,,,,,,,,,
109,0,109,16608,Channel, , , , , , , ,18149, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,259,-157.756420280171767,21.290641902801610,163.5596008,,,,,,,,,,,,,,,,,,,,,
110,0,110,16609,Channel, , , , , , , ,18150, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,260,-157.755376604346793,21.293020858725697,184.5904694,,,,,,,,,,,,,,,,,,,,,
111,0,111,16609,Channel, , , , , , , ,18150, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,260,-157.755533023430246,21.292499445293231,176.8425140,,,,,,,,,,,,,,,,,,,,,
112,1,112,16610,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,261,-157.753088443976480,21.293129000403098,261.4641724,27818,63855,Inlet/Outlet, , ,-157.753102851115671,21.293132424122120, , , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Connection between Receiving Water Body and Channel; start of Channel; edited by Parcels, ,True,None,HWES,HWES-63855,Infall
113,0,113,16610,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,261,-157.753318345765024,21.292878424100024,240.0088654,,,,,,,,,,,,,,,,,,,,,
114,0,114,16610,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,261,-157.753344439594173,21.292872350978257,238.1217346,,,,,,,,,,,,,,,,,,,,,
115,0,115,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.753344439594173,21.292872350978257,238.1217346,,,,,,,,,,,,,,,,,,,,,
116,0,116,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.753517309076528,21.292832117108560,225.6307220,,,,,,,,,,,,,,,,,,,,,
117,0,117,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.753826985227164,21.292907844521437,206.7580719,,,,,,,,,,,,,,,,,,,,,
118,0,118,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.753903467171256,21.292915125432728,201.8211823,,,,,,,,,,,,,,,,,,,,,
119,0,119,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.754010529662196,21.292933204503811,195.0900726,,,,,,,,,,,,,,,,,,,,,
120,0,120,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.754106112307198,21.292954850286151,189.2027130,,,,,,,,,,,,,,,,,,,,,
121,0,121,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.754201664375273,21.292994419556862,183.7212830,,,,,,,,,,,,,,,,,,,,,
122,0,122,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.754297193060978,21.293048325819655,178.5566711,,,,,,,,,,,,,,,,,,,,,
123,0,123,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.754377399097649,21.293116548390060,174.7285919,,,,,,,,,,,,,,,,,,,,,
124,0,124,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.754438505332729,21.293170404290777,171.8442230,,,,,,,,,,,,,,,,,,,,,
125,0,125,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.754530209201761,21.293224306056914,169.2966309,,,,,,,,,,,,,,,,,,,,,
126,0,126,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.754621960734880,21.293249531140987,172.0036163,,,,,,,,,,,,,,,,,,,,,
127,1,127,16611,Channel, , , , , , , ,15551, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,262,-157.754694630452803,21.293249636361679,173.7020111,14255,20488,Catch Basin, , ,-157.754709036692674,21.293253060080701, , ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18150 and Parcels, ,True,None,HWES,HWES-20488, 
128,0,128,16612,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,263,-157.755372650027738,21.295452957388136,246.1431732,,,,,,,,,,,,,,,,,,,,,
129,0,129,16612,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,263,-157.755257979272301,21.294608744897687,220.1118622,,,,,,,,,,,,,,,,,,,,,
130,0,130,16613,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,264,-157.755543935803956,21.296632392171205,278.2554932,,,,,,,,,,,,,,,,,,,,,
131,0,131,16613,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,264,-157.755538165753705,21.296609524210226,277.6876526,,,,,,,,,,,,,,,,,,,,,
132,0,132,16613,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,264,-157.755536618020471,21.296603388135907,277.5348816,,,,,,,,,,,,,,,,,,,,,
133,0,133,16614,Channel, , , , , , , ,18151, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,265,-157.755975524051166,21.298182163276238,311.0397644,,,,,,,,,,,,,,,,,,,,,
134,0,134,16614,Channel, , , , , , , ,18151, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,265,-157.755858683231622,21.297763982122149,302.9248047,,,,,,,,,,,,,,,,,,,,,
135,0,135,18152,Channel, , , ,84,48, , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels and FILENUM 8911,True, ,273,-157.760598213836460,21.281270292589966,228.2952576,,,,,,,,,,,,,,,,,,,,,
136,0,136,18152,Channel, , , ,84,48, , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels and FILENUM 8911,True, ,273,-157.760602733829074,21.281204126769069,224.6705780,,,,,,,,,,,,,,,,,,,,,
137,0,137,18152,Channel, , , ,84,48, , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels and FILENUM 8911,True, ,273,-157.760611471642079,21.281123464776101,220.3831177,,,,,,,,,,,,,,,,,,,,,
138,0,138,18152,Channel, , , ,84,48, , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels and FILENUM 8911,True, ,273,-157.760618005216742,21.281075068659561,217.8621216,,,,,,,,,,,,,,,,,,,,,
139,0,139,18152,Channel, , , ,84,48, , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels and FILENUM 8911,True, ,273,-157.760618459374371,21.280794723897429,201.7107697,,,,,,,,,,,,,,,,,,,,,
140,1,140,18462,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,281,-157.755670503690766,21.283900909399506,43.3696899,20748,22230,Man Hole, , ,-157.755684910829956,21.283904333118528,6, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 35,HWES 35-22230, 
141,1,141,18462,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,281,-157.755542741504286,21.283897927247608,41.2105293,52989,22231,Catch Basin, , ,-157.755557147744156,21.283901350966630,5.600000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 35,HWES 35-22231, 
142,0,142,19779,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,298,-157.753441579864983,21.283920406701441,25.4033737,,,,,,,,,,,,,,,,,,,,,
143,0,143,19779,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,298,-157.752936888426632,21.282829750292819,16.9371738,,,,,,,,,,,,,,,,,,,,,
144,0,144,19780,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,299,-157.755727765324082,21.287428613439829,75.7133331,,,,,,,,,,,,,,,,,,,,,
145,0,145,19780,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,299,-157.755371950355197,21.287069988988833,63.9797096,,,,,,,,,,,,,,,,,,,,,
146,0,146,19782,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,301,-157.755296897433851,21.293285914113710,188.5572662,,,,,,,,,,,,,,,,,,,,,
147,0,147,19782,Channel, , , , , , , ,18153, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,301,-157.755376604346793,21.293020858725697,184.5904694,,,,,,,,,,,,,,,,,,,,,
148,1,148,20206,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,309,-157.756417770163921,21.284274328597462,61.1761589,48341,22218,Man Hole, , ,-157.756432177303111,21.284277752316484,6.700000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 35,HWES 35-22218, 
149,0,149,20206,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,309,-157.756392044157479,21.284290593735989,59.4304085,,,,,,,,,,,,,,,,,,,,,
150,1,150,20206,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,309,-157.756352373263383,21.284301504311031,56.6944885,27219,22217,Catch Basin, , ,-157.756366779503253,21.284304928030053,6, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 35,HWES 35-22217, 
151,1,151,20331,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan,OWNERSHIP taken from Parcels & Easements;,True, ,311,-157.752180722262494,21.288519338196977,211.4156494,2577,20614,Man Hole, , ,-157.752195128502336,21.288522761915999,4.800000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 25,HWES 25-20614, 
152,1,152,20331,Reinforced Concrete Pipe,24, , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan,OWNERSHIP taken from Parcels & Easements;,True, ,311,-157.752089653314812,21.288527504940475,221.0735321,14257,20612,Man Hole, , ,-157.752104059554682,21.288530927760178, , ,"Constructed, existing ROW",Private,Pre-SWQDC,Pre-SWQDC,jnolan,OWNERSHIP taken from Parcels & Easements;, ,True,None,HWES 25,HWES 25-20612, 
153,0,153,21537,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,324,-157.760786907789537,21.278446129984957,83.4839096,,,,,,,,,,,,,,,,,,,,,
154,0,154,21537,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,324,-157.760796584494756,21.278429184958952,82.9834747,,,,,,,,,,,,,,,,,,,,,
155,0,155,21537,Ditch, , , ,84,48, , ,18152, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,Edited by Parcels,True, ,324,-157.760802306880919,21.278419439905292,82.6996689,,,,,,,,,,,,,,,,,,,,,
156,0,156,21539,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,325,-157.752143978661650,21.281118982555029,9.5426130,,,,,,,,,,,,,,,,,,,,,
157,0,157,21539,Channel, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,325,-157.751740480738562,21.280248659148356,5.0110855,,,,,,,,,,,,,,,,,,,,,
158,1,158,21996,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,329,-157.756352373263383,21.284301504311031,56.6944885,27219,22217,Catch Basin, , ,-157.756366779503253,21.284304928030053,6, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 35,HWES 35-22217, 
159,0,159,21996,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,329,-157.756172282225009,21.284192244776307,52.5030556,,,,,,,,,,,,,,,,,,,,,
160,0,160,21996,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,329,-157.755800366693535,21.283966674122780,45.7196732,,,,,,,,,,,,,,,,,,,,,
161,0,161,21996,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,329,-157.755703533990868,21.283908808145043,43.9457817,,,,,,,,,,,,,,,,,,,,,
162,1,162,21996,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,329,-157.755670503690766,21.283900909399506,43.3696899,20748,22230,Man Hole, , ,-157.755684910829956,21.283904333118528,6, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 35,HWES 35-22230, 
163,1,163,22223,Reinforced Concrete Pipe,48, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,339,-157.751661665053774,21.283208519557604,36.4567947,22555,22253,Man Hole, , ,-157.751676071293616,21.283211943276626,7.5, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22253, 
