OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,TYPE,CALC_LENGT,DIAMETER,DRAINAGE_A,LENGTH,WIDTH,HEIGHT,SLOPE,ROUGHNESS,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,TYPE_USE,ORIG_FID,POINT_X,POINT_Y,ELEVATION,SUBCATCHMENT,OBJECTID_12,NODE_ID,TYPE_1,DRAINAGE_A_1,FLOW_RATE_1,POINT_X_1,POINT_Y_1,CATCHMENT_,HIST_STRU_,FILENUM_1,INSTALL_DA_1,LIFE_CYCLE_1,OWNER_1,DATA_SOURC_1,CREATED_BY_1,LAST_EDITE_1,LAST_EDI_12,DA_SRC_STR,ANCILLARYR,OUTFALL,SWID,TYPE_USE_1
469,1,469,19790,Ditch,513.690266189999988, , , , , , , ,18157, , ,Private,SWQDC Other,SWQDC,jnolan, , ,303,-157.746217615450576,21.285094030964785,384.6156616,63,26932,63892,Grate/Drain Inlet, , ,-157.746232021690417,21.285097453784488, , ,18157, , ,Private,SWQDC Other,SWQDC,jnolan, , ,None,HMB 56,HMB 56-63892, 
470,0,470,19790,Ditch,513.690266189999988, , , , , , , ,18157, , ,Private,SWQDC Other,SWQDC,jnolan, , ,303,-157.746166332510199,21.284882182166996,369.5772095,63,,,,, ,,,,,,,,,,,,,,,,,
471,0,471,19790,Ditch,513.690266189999988, , , , , , , ,18157, , ,Private,SWQDC Other,SWQDC,jnolan, , ,303,-157.746470029967867,21.284721289855668,354.0729065,63,,,,, ,,,,,,,,,,,,,,,,,
472,0,472,19790,Ditch,513.690266189999988, , , , , , , ,18157, , ,Private,SWQDC Other,SWQDC,jnolan, , ,303,-157.746741551481392,21.284499842593732,334.0807190,63,,,,, ,,,,,,,,,,,,,,,,,
473,0,473,19790,Ditch,513.690266189999988, , , , , , , ,18157, , ,Private,SWQDC Other,SWQDC,jnolan, , ,303,-157.747176655178464,21.284256454571789,309.7982178,63,,,,, ,,,,,,,,,,,,,,,,,
474,1,474,19790,Ditch,513.690266189999988, , , , , , , ,18157, , ,Private,SWQDC Other,SWQDC,jnolan, , ,303,-157.747226207823218,21.284222242562521,304.5238037,63,59090,63893,Man Hole, , ,-157.747240614962379,21.284225666281543, , ,18157, , ,Private,SWQDC Other,SWQDC,jnolan, , ,None,HMB 56,HMB 56-63893, 
475,1,475,19900,Reinforced Concrete Pipe,172.505323370000013,18, ,160, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,304,-157.754640023618180,21.288259295630041,73.4105682,37,3114,25608,Man Hole, , ,-157.754654429858022,21.288262719349063,5.600000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 28,HWES 28-25608, 
476,1,476,19900,Reinforced Concrete Pipe,172.505323370000013,18, ,160, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,304,-157.754145653698941,21.288363414639946,89.2656784,37,34623,20616,Man Hole, , ,-157.754160059938783,21.288366838358968,7.400000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 28,HWES 28-20616, 
477,1,477,20197,Reinforced Concrete Pipe,139.080573579999992,36, ,54.923000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,308,-157.754817227832774,21.281904134768070,19.7486534,23,25354,22291,Man Hole, , ,-157.754831634072616,21.281907558487092,4, ,WR22875, ,"Constructed, existing ROW",City and County of Honolulu,Other,Pre-SWQDC,jnolan,Edited by DFM Roads Engineers Report, ,None,HWES 39,HWES 39-22291, 
478,1,478,20197,Reinforced Concrete Pipe,139.080573579999992,36, ,54.923000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,308,-157.754428571421414,21.282022023297770,14.1256590,23,2207,22287,Man Hole, , ,-157.754442977661256,21.282025447016792, , ,WR22875, ,"Constructed, existing ROW",City and County of Honolulu,Other,Pre-SWQDC,jnolan,Edited by DFM Roads Engineers Report; Was edited by FILENUM 18153, ,None,HWES 39,HWES 39-22287, 
479,1,479,20206,Reinforced Concrete Pipe,24.641235590000001,24, ,24.641000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,309,-157.756417770163921,21.284274328597462,61.1761589,62,48341,22218,Man Hole, , ,-157.756432177303111,21.284277752316484,6.700000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 35,HWES 35-22218, 
480,0,480,20206,Reinforced Concrete Pipe,24.641235590000001,24, ,24.641000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,309,-157.756392044157479,21.284290593735989,59.4304085,62,,,,, ,,,,,,,,,,,,,,,,,
481,1,481,20206,Reinforced Concrete Pipe,24.641235590000001,24, ,24.641000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,309,-157.756352373263383,21.284301504311031,56.6944885,62,27219,22217,Catch Basin, , ,-157.756366779503253,21.284304928030053,6,HWES 35-5,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 35,HWES 35-22217, 
482,1,482,20209,Reinforced Concrete Pipe,145.460238809999993,18, ,145.462000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,310,-157.754528741508182,21.283636550986103,23.3656807,28,29034,22240,Man Hole, , ,-157.754543147748052,21.283639974705125,3.8, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 37,HWES 37-22240, 
483,0,483,20209,Reinforced Concrete Pipe,145.460238809999993,18, ,145.462000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,310,-157.754393172307033,21.283692053545508,23.1597729,28,,,,, ,,,,,,,,,,,,,,,,,
484,0,484,20209,Reinforced Concrete Pipe,145.460238809999993,18, ,145.462000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,310,-157.754199184045092,21.283771903450656,23.6013775,28,,,,, ,,,,,,,,,,,,,,,,,
485,1,485,20209,Reinforced Concrete Pipe,145.460238809999993,18, ,145.462000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,310,-157.754137461774405,21.283797362358428,23.7715874,28,8635,22234,Man Hole, , ,-157.754151868014276,21.283800786077450,3.200000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 37,HWES 37-22234, 
486,1,486,20331,Reinforced Concrete Pipe,31.145932770000002,24, ,31.146000, , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan,OWNERSHIP taken from Parcels & Easements;, ,311,-157.752180722262494,21.288519338196977,211.4156494,89,2577,20614,Man Hole, , ,-157.752195128502336,21.288522761915999,4.800000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 25,HWES 25-20614, 
487,1,487,20331,Reinforced Concrete Pipe,31.145932770000002,24, ,31.146000, , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan,OWNERSHIP taken from Parcels & Easements;, ,311,-157.752089653314812,21.288527504940475,221.0735321,89,14257,20612,Man Hole, , ,-157.752104059554682,21.288530927760178, , ,Pre-SWQDC, ,"Constructed, existing ROW",Private,Pre-SWQDC,Pre-SWQDC,jnolan,OWNERSHIP taken from Parcels & Easements;, ,None,HWES 25,HWES 25-20612, 
488,1,488,20350,Reinforced Concrete Pipe,50.293067940000000,18, ,50.293000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,312,-157.753293501094163,21.288128442473692,120.2669983,34,25422,20620,Man Hole, , ,-157.753307908233353,21.288131866192714, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 31,HWES 31-20620, 
489,1,489,20350,Reinforced Concrete Pipe,50.293067940000000,18, ,50.293000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,312,-157.753342918840616,21.287997967931915,114.2186890,34,53052,20625,Man Hole, , ,-157.753357325080458,21.288001391650937, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 31,HWES 31-20625, 
490,1,490,20657,Reinforced Concrete Pipe,130.863736210000013,18, ,130.863, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,319,-157.755897164322647,21.282267212661793,42.6727295,23,20751,22277,Man Hole, , ,-157.755911570562489,21.282270636380815,4.100000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 39,HWES 39-22277, 
491,0,491,20657,Reinforced Concrete Pipe,130.863736210000013,18, ,130.863, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,319,-157.755857409791588,21.282106797890435,41.4032593,23,,,,, ,,,,,,,,,,,,,,,,,
492,1,492,20657,Reinforced Concrete Pipe,130.863736210000013,18, ,130.863, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,319,-157.755808160218379,21.281916756752992,39.8149872,23,2208,22294,Man Hole, , ,-157.755822566458249,21.281920180472014,3.600000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 39,HWES 39-22294, 
493,1,493,20658,Reinforced Concrete Pipe,120.557843120000001,18, ,120.557, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,320,-157.754182384709253,21.281289789891957,9.6617146,75,14209,22312,Catch Basin, , ,-157.754196790949123,21.281293213610979, ,HWES 41-3-4,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 41,HWES 41-22312, 
494,0,494,20658,Reinforced Concrete Pipe,120.557843120000001,18, ,120.557, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,320,-157.754139216351717,21.281196622825917,9.6090298,75,,,,, ,,,,,,,,,,,,,,,,,
495,0,495,20658,Reinforced Concrete Pipe,120.557843120000001,18, ,120.557, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,320,-157.754075194514598,21.281060174087827,9.5004559,75,,,,, ,,,,,,,,,,,,,,,,,
496,1,496,20658,Reinforced Concrete Pipe,120.557843120000001,18, ,120.557, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,320,-157.754039337645281,21.280986202151553,9.4252605,75,57504,22327,Man Hole, , ,-157.754053743885152,21.280989625870575, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 41,HWES 41-22327, 
497,1,497,20659,Reinforced Concrete Pipe,19.952596759999999,18, ,19.953, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,321,-157.754039337645281,21.280986202151553,9.4252605,75,57504,22327,Man Hole, , ,-157.754053743885152,21.280989625870575, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 41,HWES 41-22327, 
498,1,498,20659,Reinforced Concrete Pipe,19.952596759999999,18, ,19.953, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,321,-157.753984666059466,21.280966421563164,9.3730545,75,2277,22328,Man Hole, , ,-157.753999072299308,21.280969845282186, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 41,HWES 41-22328, 
499,0,499,21539,Channel,344.707635799999991, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels, ,325,-157.752143978661650,21.281118982555029,9.5426130,19,,,,, ,,,,,,,,,,,,,,,,,
500,0,500,21539,Channel,344.707635799999991, , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels, ,325,-157.751740480738562,21.280248659148356,5.0110855,15,,,,, ,,,,,,,,,,,,,,,,,
501,0,501,21540,Ditch,277.307815769999991, , , , , , , ,18153, , ,Private,SWQDC Other,SWQDC,jnolan,OWNERSHIP taken from Parcels & Easements; Edited by Easements, ,326,-157.757848158965345,21.282553306789737,140.3314209,66,,,,, ,,,,,,,,,,,,,,,,,
502,0,502,21540,Ditch,277.307815769999991, , , , , , , ,18153, , ,Private,SWQDC Other,SWQDC,jnolan,OWNERSHIP taken from Parcels & Easements; Edited by Easements, ,326,-157.757663400445551,21.282367488868545,127.4446487,66,,,,, ,,,,,,,,,,,,,,,,,
503,0,503,21540,Ditch,277.307815769999991, , , , , , , ,18153, , ,Private,SWQDC Other,SWQDC,jnolan,OWNERSHIP taken from Parcels & Easements; Edited by Easements, ,326,-157.757594754294445,21.282236293070525,122.1164398,66,,,,, ,,,,,,,,,,,,,,,,,
504,0,504,21540,Ditch,277.307815769999991, , , , , , , ,18153, , ,Private,SWQDC Other,SWQDC,jnolan,OWNERSHIP taken from Parcels & Easements; Edited by Easements, ,326,-157.757487298799759,21.282151430344300,115.2171021,66,,,,, ,,,,,,,,,,,,,,,,,
505,1,505,21540,Ditch,277.307815769999991, , , , , , , ,18153, , ,Private,SWQDC Other,SWQDC,jnolan,OWNERSHIP taken from Parcels & Easements; Edited by Easements, ,326,-157.757306565645450,21.282309333309115,106.4953003,66,11448,22274,Man Hole, , ,-157.757320972784640,21.282312757028137,4, ,Pre-SWQDC, ,"Constructed, existing ROW",Private,Pre-SWQDC,Pre-SWQDC,jnolan,OWNERSHIP taken from Parcels & Easements;, ,None,HWES 39,HWES 39-22274, 
506,1,506,21977,Reinforced Concrete Pipe,18.733629669999999,18, ,10, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,327,-157.756629455285093,21.276348053919605,5.6096578,74,58434,22400,Man Hole, , ,-157.756643861524964,21.276351477638627, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HMB 32,HMB 32-22400, 
507,1,507,21977,Reinforced Concrete Pipe,18.733629669999999,18, ,10, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,327,-157.756683439788873,21.276338088531986,5.5320029,74,46479,22401,Catch Basin, , ,-157.756697846028743,21.276341512251065, ,HMB 32-5-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HMB 32,HMB 32-22401, 
508,1,508,21996,Reinforced Concrete Pipe,274.564507639999988,30, ,274.564, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,329,-157.756352373263383,21.284301504311031,56.6944885,62,27219,22217,Catch Basin, , ,-157.756366779503253,21.284304928030053,6,HWES 35-5,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 35,HWES 35-22217, 
509,0,509,21996,Reinforced Concrete Pipe,274.564507639999988,30, ,274.564, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,329,-157.756172282225009,21.284192244776307,52.5030556,62,,,,, ,,,,,,,,,,,,,,,,,
510,0,510,21996,Reinforced Concrete Pipe,274.564507639999988,30, ,274.564, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,329,-157.755800366693535,21.283966674122780,45.7196732,62,,,,, ,,,,,,,,,,,,,,,,,
511,0,511,21996,Reinforced Concrete Pipe,274.564507639999988,30, ,274.564, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,329,-157.755703533990868,21.283908808145043,43.9457817,62,,,,, ,,,,,,,,,,,,,,,,,
512,1,512,21996,Reinforced Concrete Pipe,274.564507639999988,30, ,274.564, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,329,-157.755670503690766,21.283900909399506,43.3696899,62,20748,22230,Man Hole, , ,-157.755684910829956,21.283904333118528,6, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 35,HWES 35-22230, 
513,1,513,21997,Reinforced Concrete Pipe,163.040050619999988,42, ,146.974, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154, ,330,-157.754144319105023,21.282120781448953,14.5324697,23,16063,22281,Man Hole, , ,-157.754158725344865,21.282124205167975,5.600000, ,WR22875, ,"Constructed, existing ROW",City and County of Honolulu,Other,Pre-SWQDC,jnolan,Edited by DFM Roads Engineers Report, ,None,HWES 39,HWES 39-22281, 
514,1,514,21997,Reinforced Concrete Pipe,163.040050619999988,42, ,146.974, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154, ,330,-157.753697083553533,21.282281221401320,15.0743914,23,20750,22273,Man Hole, , ,-157.753711489793403,21.282284645120342,7.900000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154, ,None,HWES 39,HWES 39-22273, 
515,1,515,22001,Reinforced Concrete Pipe,33.332782000000002,18, ,33.333, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,331,-157.750418512404394,21.283420681319456,81.2008057,91,35528,22249,Catch Basin, , ,-157.750432919543584,21.283424105038478,4,HWES 38-5-2,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 38,HWES 38-22249, 
516,1,516,22001,Reinforced Concrete Pipe,33.332782000000002,18, ,33.333, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,331,-157.750496621222055,21.283476005813043,79.8307571,91,46468,22248,Man Hole, , ,-157.750511027461926,21.283479429532122,4.100000,HWES 38-5-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 38,HWES 38-22248, 
517,1,517,22025,Reinforced Concrete Pipe,199.516118250000005,24, ,199.517, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,332,-157.753015534139564,21.289683344211028,181.8950348,89,12375,20566,Man Hole, , ,-157.753029940379406,21.289686767030730, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 25,HWES 25-20566, 
518,1,518,22025,Reinforced Concrete Pipe,199.516118250000005,24, ,199.517, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,332,-157.752934950387612,21.290227371096364,203.4508514,89,41955,20545,Man Hole, , ,-157.752949357526802,21.290230793916066,5, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 25,HWES 25-20545, 
519,1,519,22131,Reinforced Concrete Pipe,86.173697009999998,18, ,86.17400000000001, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,334,-157.752307169640147,21.289090576768729,219.7530060,89,41960,20588,Man Hole, , ,-157.752321575879989,21.289093999588488,6.200000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 25,HWES 25-20588, 
520,1,520,22131,Reinforced Concrete Pipe,86.173697009999998,18, ,86.17400000000001, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,334,-157.752256113328940,21.289322926511886,233.5697174,89,56628,20577,Man Hole, , ,-157.752270519568782,21.289326349331589,7.800000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 25,HWES 25-20577, 
521,1,521,22137,Reinforced Concrete Pipe,55.411136700000000,24, ,55.412, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,335,-157.753688168574087,21.287484529687333,86.4444733,34,52130,20644,Man Hole, , ,-157.753702574813957,21.287487953406355,7.700000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 31,HWES 31-20644, 
522,1,522,22137,Reinforced Concrete Pipe,55.411136700000000,24, ,55.412, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,335,-157.753529501185511,21.287518512369502,93.0160065,34,11505,20643,Man Hole, , ,-157.753543907425353,21.287521936088524,5.100000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 31,HWES 31-20643, 
523,1,523,22161,Reinforced Concrete Pipe,218.867193270000001,24, ,218.87, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,336,-157.754594371333155,21.290545259855890,122.1086807,51,40133,20537,Man Hole, , ,-157.754608777572997,21.290548682675592, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 22,HWES 22-20537, 
524,1,524,22161,Reinforced Concrete Pipe,218.867193270000001,24, ,218.87, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,336,-157.755213312644230,21.290382350365235,129.4097443,51,2571,20540,Man Hole, , ,-157.755227718884100,21.290385774084257,4, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 22,HWES 22-20540, 
525,1,525,22183,Reinforced Concrete Pipe,76.597821870000004,18, ,76.598, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,338,-157.755599209935554,21.288824247940738,98.7832565,13,48396,20606,Catch Basin, , ,-157.755613616175424,21.288827671659760,4.300000,HWES 25-2-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 25,HWES 25-20606, 
526,1,526,22183,Reinforced Concrete Pipe,76.597821870000004,18, ,76.598, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,338,-157.755541537312070,21.288620429189507,93.2429886,13,23530,20608,Man Hole, , ,-157.755555943551911,21.288623852009209,3.6, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 25,HWES 25-20608, 
527,1,527,22223,Reinforced Concrete Pipe,245.343359910000004,48, ,245.346, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,339,-157.751661665053774,21.283208519557604,36.4567947,91,22555,22253,Man Hole, , ,-157.751676071293616,21.283211943276626,7.5, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 38,HWES 38-22253, 
528,0,528,22223,Reinforced Concrete Pipe,245.343359910000004,48, ,245.346, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,339,-157.751903696898069,21.283159564062657,30.9946613,26,,,,, ,,,,,,,,,,,,,,,,,
529,0,529,22223,Reinforced Concrete Pipe,245.343359910000004,48, ,245.346, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,339,-157.752168508569781,21.283100403960532,25.9568558,26,,,,, ,,,,,,,,,,,,,,,,,
530,1,530,22223,Reinforced Concrete Pipe,245.343359910000004,48, ,245.346, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,339,-157.752364267596846,21.283058563002328,22.4638863,26,21640,22254,Man Hole, , ,-157.752378674736008,21.283061986721350,7.400000,HWES 38-2-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 38,HWES 38-22254, 
531,1,531,22224,Reinforced Concrete Pipe,147.281907670000010,18, ,147.283, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,340,-157.757459940523802,21.282812774689830,120.1064987,66,44655,22261,Man Hole, , ,-157.757474346763672,21.282816198408852,5.800000, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 39,HWES 39-22261, 
